,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT2G20800,307.6253982,6.840398156,0.70805364,9.660847379,4.42E-22,2.28E-20
AT2G20950,240.2074446,3.867525895,0.626580377,6.172433792,6.72E-10,1.32E-08
AT2G20960,522.9161185,2.533053681,0.296596108,8.540414428,1.34E-17,5.16E-16
AT2G21237,16.85073627,7.625894966,2.02285303,3.769870996,0.000163332,0.00132093
AT2G21350,52.35080228,2.365056338,0.918894895,2.573805067,0.010058693,0.044142662
AT2G21500,172.9787955,2.654136491,0.543312764,4.885098726,1.03E-06,1.31E-05
AT2G21620,1099.293181,2.524678934,0.245727773,10.27429215,9.20E-25,5.45E-23
AT2G21640,1113.087492,5.148241281,0.473192571,10.87980158,1.44E-27,1.03E-25
AT2G21910,22.82866212,8.055272118,1.856375427,4.339247332,1.43E-05,0.000148913
AT2G22250,432.7698188,2.501274483,0.320103793,7.813948287,5.54E-15,1.75E-13
AT2G22300,1174.297715,2.483896468,0.287372227,8.643481294,5.45E-18,2.20E-16
AT2G22470,184.2688545,3.260647507,0.647466811,5.036007174,4.75E-07,6.41E-06
AT2G22500,1113.524165,3.846323206,0.285944329,13.45130088,3.03E-41,4.19E-39
AT2G22560,170.4185695,2.050902878,0.692887458,2.959936501,0.003077025,0.016543734
AT2G22760,21.68083585,5.246080859,1.890941844,2.774321629,0.005531696,0.026982788
AT2G22770,35.27634676,4.534481815,1.103606515,4.108784928,3.98E-05,0.000373819
AT2G22860,272.6500825,2.048883608,0.54897659,3.732187577,0.000189824,0.001502358
AT2G22870,262.78126,2.452219192,0.482039718,5.087172489,3.63E-07,4.99E-06
AT2G22880,201.7179476,9.431081385,1.131793895,8.332861153,7.89E-17,2.86E-15
AT2G23170,200.348577,4.517102408,0.939461178,4.808184216,1.52E-06,1.90E-05
AT2G23270,527.2232992,10.27220837,0.928529014,11.06288356,1.90E-28,1.45E-26
AT2G23320,853.9421326,3.221812941,0.292676282,11.00811081,3.49E-28,2.59E-26
AT2G23450,349.7833656,2.059103165,0.438397575,4.696885392,2.64E-06,3.18E-05
AT2G23680,231.5936229,5.515662995,0.649811116,8.488101942,2.10E-17,7.94E-16
AT2G23770,142.6835875,4.560306537,0.692738913,6.583009057,4.61E-11,1.03E-09
AT2G23810,786.11118,3.704227475,0.363826119,10.18131266,2.40E-24,1.39E-22
AT2G23830,8.885911275,6.706582906,2.50277077,2.67966327,0.007369625,0.034156164
AT2G24180,497.8514685,2.377106823,0.517186552,4.596227056,4.30E-06,4.99E-05
AT2G24500,634.1329492,2.387154209,0.343562718,6.948234152,3.70E-12,9.05E-11
AT2G24600,309.42885,5.27850421,0.624089189,8.457932463,2.72E-17,1.03E-15
AT2G24850,457.3627918,8.469422081,0.642936758,13.17302514,1.25E-39,1.59E-37
AT2G25140,212.6260814,2.14338991,0.499393023,4.2919901,1.77E-05,0.000180914
AT2G25297,58.23578932,7.388470796,1.366072873,5.408548068,6.35E-08,9.67E-07
AT2G25440,42.76975431,8.97128494,1.619708804,5.538825819,3.05E-08,4.84E-07
AT2G25460,261.2001874,3.880296134,0.525867467,7.378848049,1.60E-13,4.36E-12
AT2G25470,21.15958793,5.249675198,1.954341638,2.686160442,0.007227837,0.03364078
AT2G25735,173.5104167,4.365787754,0.683954808,6.383152372,1.73E-10,3.59E-09
AT2G26150,20.22209916,6.120690063,1.616136736,3.787235278,0.000152333,0.001238742
AT2G26190,795.0636383,6.083558816,0.439956179,13.82764719,1.74E-43,2.59E-41
