,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT2G42065,76.14413533,9.801872123,1.413175798,6.936059999,4.03E-12,9.82E-11
AT2G42350,44.90020662,9.038358344,1.580331554,5.719279807,1.07E-08,1.83E-07
AT2G42360,110.7272473,4.557037489,0.851597031,5.351166485,8.74E-08,1.31E-06
AT2G42480,131.7714843,9.624103887,1.298330764,7.412674919,1.24E-13,3.43E-12
AT2G42530,137.0996494,2.167336837,0.631114956,3.434139558,0.000594438,0.004034465
AT2G42540,272.3191896,6.682903102,0.761935475,8.770956753,1.77E-18,7.43E-17
AT2G43000,173.624205,9.176452132,1.224141607,7.49623416,6.57E-14,1.88E-12
AT2G43010,176.12745,4.001320764,0.529357111,7.55883067,4.07E-14,1.18E-12
AT2G43150,993.8816321,3.17356122,0.447691971,7.088715955,1.35E-12,3.43E-11
AT2G43320,290.3473936,3.150362032,0.54282885,5.803600958,6.49E-09,1.15E-07
AT2G43570,33.13136824,7.622909272,1.604781858,4.750121789,2.03E-06,2.49E-05
AT2G43620,183.755525,4.64290071,0.540779837,8.585565498,9.04E-18,3.54E-16
AT2G43720,70.80215605,3.583051343,1.234747546,2.901849334,0.003709669,0.019376855
AT2G43820,424.0949617,2.00841197,0.657074531,3.056596892,0.002238651,0.012610347
AT2G44065,413.1283856,2.575995972,0.373997288,6.887739702,5.67E-12,1.37E-10
AT2G44070,723.6253086,11.27127938,1.042213225,10.81475375,2.93E-27,2.04E-25
AT2G44200,531.5354144,2.08682513,0.36085195,5.783050715,7.34E-09,1.29E-07
AT2G44230,18.02887308,7.715513494,2.528426209,3.051508273,0.002276948,0.012799851
AT2G44290,327.7303524,3.935002892,0.708334078,5.555292365,2.77E-08,4.44E-07
AT2G44490,1054.370263,2.888718833,0.447695427,6.452419792,1.10E-10,2.33E-09
AT2G44500,679.8956625,3.264054188,0.29405529,11.10013763,1.25E-28,9.76E-27
AT2G44578,137.4496911,4.018057108,0.805903918,4.985776863,6.17E-07,8.17E-06
AT2G44790,114.6996303,3.237788328,0.966079993,3.351470221,0.000803837,0.005262671
AT2G44840,79.74707776,7.121355226,1.018691291,6.9906902,2.74E-12,6.75E-11
AT2G44993,169.0722804,2.339515417,0.743498976,3.146628968,0.001651644,0.009763773
AT2G45290,448.2436515,4.083651569,0.403062749,10.13155292,4.00E-24,2.29E-22
AT2G45300,819.0050072,2.125419595,0.242880301,8.750893287,2.12E-18,8.86E-17
AT2G45570,40.97359922,8.906389408,1.874287581,4.751879861,2.02E-06,2.47E-05
AT2G45760,326.0176562,11.89752395,1.242555212,9.575046511,1.02E-21,5.16E-20
AT2G46080,360.8875422,2.427512578,0.423947459,5.725975059,1.03E-08,1.77E-07
AT2G46140,97.32102561,2.270809229,0.789821013,2.875093459,0.004039079,0.020759465
AT2G46170,179.7266496,2.330037414,0.545180598,4.273881763,1.92E-05,0.000195223
AT2G46270,119.3629643,4.751874777,0.664853747,7.147248244,8.85E-13,2.27E-11
AT2G46310,317.0278483,2.629598577,0.379273157,6.933257802,4.11E-12,1.00E-10
AT2G46330,1432.938621,2.677673157,0.361015048,7.417068002,1.20E-13,3.35E-12
AT2G46400,743.8116233,7.380323437,1.043174737,7.074867876,1.50E-12,3.77E-11
AT2G46430,177.5565164,2.929039685,0.687139235,4.262658187,2.02E-05,0.000203788
AT2G46500,1088.0164,2.431349027,0.21877817,11.11330726,1.08E-28,8.49E-27
AT2G46510,584.4391487,2.440182604,0.308496375,7.909923092,2.58E-15,8.32E-14
AT2G46600,404.6481754,3.102288663,0.403119952,7.69569615,1.41E-14,4.25E-13
AT2G46620,555.4865734,3.202969436,0.415792797,7.703282643,1.33E-14,4.03E-13
AT2G46640,81.13854578,3.381827317,1.32067739,2.560676318,0.010446864,0.045503787
AT2G46650,1253.622021,2.00247921,0.306637543,6.530443697,6.56E-11,1.43E-09
AT2G47000,5461.113993,6.354027823,0.246304339,25.79746601,9.47E-147,1.82E-143
AT2G47010,87.17184325,3.25798728,1.021934046,3.188060221,0.001432307,0.008664062
AT2G47060,246.598652,2.39115297,0.475304183,5.030784616,4.88E-07,6.58E-06
AT2G47130,106.8250814,5.534727796,0.942367149,5.873218102,4.27E-09,7.72E-08
AT2G47140,48.94554687,5.48972932,1.215060048,4.518072443,6.24E-06,7.01E-05
AT2G47190,33.4609098,7.638310456,1.679368621,4.548322723,5.41E-06,6.16E-05
AT2G47520,169.2932861,8.211509951,0.947359551,8.667786102,4.41E-18,1.79E-16
AT2G47650,689.5159219,2.360545871,0.354873877,6.651788217,2.90E-11,6.58E-10
AT2G47680,97.8102601,2.579949144,0.73287689,3.520303584,0.000431053,0.003077489
AT2G47730,2657.235682,2.440693006,0.177004297,13.78889131,2.97E-43,4.40E-41
AT2G47890,178.2642721,2.613407462,0.565732184,4.619513505,3.85E-06,4.51E-05
AT2G47990,322.0274188,2.747386824,0.427702841,6.423587974,1.33E-10,2.78E-09
AT2G48010,156.7761376,3.702648523,0.750490778,4.933636268,8.07E-07,1.05E-05
AT3G01290,1767.102771,4.01592848,0.302760938,13.26435475,3.73E-40,4.81E-38
AT3G01600,21.19091564,7.948667653,2.098346807,3.788061929,0.000151827,0.001235151
AT3G01650,208.2963014,2.235719611,0.517307081,4.321842273,1.55E-05,0.000159693
AT3G01800,120.6886906,2.238610896,0.620805268,3.60597922,0.000310978,0.002319142
AT3G01820,547.4874698,2.231043654,0.361938186,6.164156592,7.09E-10,1.39E-08
AT3G01830,314.7338477,11.84617912,1.243831907,9.523938929,1.67E-21,8.31E-20
AT3G01840,73.34316333,9.743801877,1.490944117,6.535323333,6.35E-11,1.39E-09
AT3G01970,404.0014361,6.095437929,0.488031725,12.48983954,8.48E-36,8.97E-34
AT3G02020,128.9214943,2.113884825,0.635078692,3.32853999,0.000873025,0.005659811
AT3G02040,58.71387044,2.663950149,0.907613222,2.935116065,0.003334229,0.017689429
AT3G02270,31.3542357,7.523393586,1.880144457,4.001497629,6.29E-05,0.000560631
AT3G02550,145.227069,4.473937482,0.931237622,4.804292026,1.55E-06,1.93E-05
AT3G02555,160.9007616,2.616914886,0.509851805,5.13269711,2.86E-07,4.00E-06
AT3G02800,135.7376922,2.992651878,0.861196366,3.47499362,0.000510866,0.003558863
AT3G02840,113.6571817,9.422886103,1.365923775,6.898544616,5.25E-12,1.27E-10
AT3G03060,134.1212115,2.454399041,0.516509325,4.751896859,2.02E-06,2.47E-05
AT3G03341,62.77221227,5.098186604,1.232756886,4.135597752,3.54E-05,0.000336514
AT3G04110,17.52419463,4.927184875,1.859715015,2.649430066,0.008062766,0.036871493
AT3G04210,571.0681657,2.684257518,0.448478709,5.985250728,2.16E-09,4.02E-08
AT3G04220,572.6484459,10.94882093,1.053080646,10.3969444,2.56E-25,1.57E-23
AT3G04230,190.2666092,3.193160511,0.545442919,5.854252387,4.79E-09,8.58E-08
AT3G04580,486.8276039,2.247520025,0.424373253,5.29609255,1.18E-07,1.74E-06
AT3G04640,275.3720739,4.513672023,0.439446024,10.27127741,9.49E-25,5.59E-23
AT3G04770,128.2637926,2.713132741,0.90206064,3.007705493,0.002632281,0.014505051
AT3G05050,644.3921712,2.24598313,0.303975782,7.388691022,1.48E-13,4.07E-12
AT3G05200,502.2086909,4.285745823,0.447345362,9.580396231,9.67E-22,4.91E-20
AT3G05350,1456.006985,2.178380539,0.338826366,6.429194302,1.28E-10,2.70E-09
AT3G05360,862.5256822,4.816333225,0.527044141,9.138386802,6.34E-20,2.88E-18
AT3G05365,203.443061,6.118221469,2.148352654,2.847866461,0.004401339,0.022364565
AT3G05370,290.8069339,2.393280885,0.47977049,4.98838702,6.09E-07,8.07E-06
AT3G05390,92.61021744,10.07744659,1.444092114,6.97839597,2.99E-12,7.34E-11
AT3G05580,292.622576,2.100268744,0.559797569,3.751836132,0.000175544,0.001404354
AT3G06420,67.93311165,2.379682776,0.809879342,2.938317663,0.003299987,0.01755615
AT3G06490,117.4354119,9.458250635,1.302666638,7.260683859,3.85E-13,1.02E-11
AT3G06500,1460.769276,3.15501753,0.285846891,11.03743866,2.52E-28,1.90E-26
AT3G06890,78.47572753,3.140016279,0.913151912,3.438657073,0.000584607,0.003978968
AT3G07195,26.98840912,4.77645858,1.516996307,3.148629009,0.001640383,0.00970913
AT3G07273,47.57872955,2.555290488,0.994132655,2.570371745,0.010158944,0.044491319
AT3G07370,267.6588175,2.002134412,0.403862413,4.957466577,7.14E-07,9.33E-06
AT3G07780,852.5163175,2.137811331,0.326488921,6.547883224,5.84E-11,1.28E-09
AT3G08590,1852.994388,2.624758669,0.262148035,10.01250562,1.34E-23,7.49E-22
AT3G08640,544.461909,2.001723319,0.316722111,6.320124957,2.61E-10,5.33E-09
AT3G08710,373.1025509,3.718626101,0.452692392,8.214465637,2.13E-16,7.46E-15
AT3G08720,830.8897919,4.659728801,0.312218254,14.92458799,2.28E-50,4.48E-48
AT3G08760,661.7367642,2.736410563,0.411039111,6.657299737,2.79E-11,6.35E-10
AT3G09010,557.590022,7.824579912,0.515188242,15.18780764,4.26E-52,8.91E-50
AT3G09020,268.5247382,4.930334239,0.819394208,6.017047951,1.78E-09,3.32E-08
AT3G09032,89.10159248,2.737985121,0.607063273,4.510213751,6.48E-06,7.25E-05
AT3G09405,488.3723777,8.94089623,0.654045928,13.67013515,1.53E-42,2.22E-40
AT3G09440,3776.347775,3.313824253,0.203238854,16.30507248,9.08E-60,2.39E-57
AT3G09830,502.8295282,4.030964356,0.529517645,7.612521315,2.69E-14,7.94E-13
AT3G09940,50.95149472,8.243181315,1.464747322,5.627715573,1.83E-08,2.99E-07
AT3G10300,291.9322646,2.381919451,0.371120343,6.418186157,1.38E-10,2.88E-09
AT3G10310,68.13935559,2.25175481,0.817136449,2.755665607,0.005857284,0.028227594
AT3G10320,14.9567863,5.121554467,1.789726192,2.861641345,0.004214535,0.021534743
AT3G10500,376.849209,3.395865779,0.462064769,7.349328511,1.99E-13,5.37E-12
AT3G10605,38.0237524,8.803943792,1.69471346,5.19494534,2.05E-07,2.92E-06
AT3G10640,500.2398866,2.683574655,0.35977147,7.45910913,8.71E-14,2.47E-12
AT3G10815,54.13233434,5.237370745,1.190339204,4.399897714,1.08E-05,0.000115747
AT3G10930,299.521186,10.81302296,1.254100064,8.622137319,6.57E-18,2.62E-16
AT3G10940,190.2385571,2.038103217,0.704781544,2.891822627,0.003830141,0.019865954
AT3G10986,20.74289977,7.916092105,2.079772165,3.806230431,0.000141101,0.001158171
AT3G11010,165.1734487,2.683039618,0.643252367,4.171052848,3.03E-05,0.000292673
AT3G11020,312.2110614,3.40583136,0.562333653,6.056602416,1.39E-09,2.63E-08
AT3G11080,56.9308959,3.608822262,0.795222961,4.538126337,5.68E-06,6.43E-05
AT3G11340,276.9868443,4.740497189,0.838792558,5.651572782,1.59E-08,2.64E-07
AT3G11820,1342.870696,5.035125334,0.356327235,14.13062163,2.46E-45,3.95E-43
AT3G11840,289.065695,3.804961174,0.475891622,7.995436349,1.29E-15,4.25E-14
AT3G11850,130.0823454,3.090210116,0.589136723,5.245319115,1.56E-07,2.25E-06
AT3G12040,96.89980097,4.925533605,1.152941994,4.272143465,1.94E-05,0.00019644
AT3G12270,202.9807616,2.234074863,0.543885504,4.107619796,4.00E-05,0.000374612
AT3G12580,284.9251527,4.630759248,0.552536603,8.380909473,5.25E-17,1.92E-15
AT3G12740,939.7385186,2.465712895,0.249982249,9.863551947,5.99E-23,3.25E-21
AT3G12910,15.50647333,7.499649984,2.58593612,2.900168309,0.003729623,0.019459959
AT3G13080,9289.088379,4.386047499,0.220013185,19.93538482,2.01E-88,1.17E-85
AT3G13090,203.4213117,6.70048251,0.746939132,8.970587051,2.95E-19,1.28E-17
AT3G13100,698.806083,5.339192847,0.31754733,16.81384895,1.93E-63,5.72E-61
AT3G13110,1032.33544,3.226162523,0.267120553,12.07755258,1.39E-33,1.35E-31
AT3G13210,22.45558138,4.778406784,1.730199216,2.761766819,0.005748952,0.02780996
AT3G13380,769.8504616,2.672571956,0.305952806,8.735242499,2.43E-18,1.01E-16
AT3G13600,29.66742884,4.534462606,1.512905151,2.997188954,0.002724818,0.014899798
AT3G13610,132.3381937,4.613008095,0.612642115,7.529694719,5.09E-14,1.47E-12
AT3G13650,33.63736687,4.874004871,1.494711139,3.26083398,0.001110851,0.006964708
AT3G13900,114.1611528,3.690537662,0.948546283,3.890730193,9.99E-05,0.000846328
AT3G13910,203.3194389,3.631314948,0.774717017,4.687279187,2.77E-06,3.32E-05
AT3G13940,329.5858806,2.312039279,0.424931727,5.440966476,5.30E-08,8.16E-07
AT3G13950,119.611473,10.44980037,1.322518305,7.901441008,2.76E-15,8.87E-14
AT3G14050,1111.248256,3.864260544,0.262438993,14.72441463,4.49E-49,8.48E-47
AT3G14075,233.4446041,2.015471753,0.462220395,4.360412857,1.30E-05,0.000136219
AT3G14090,173.5869575,2.212835106,0.582138634,3.801216713,0.000143987,0.001176384
AT3G14200,100.6428521,3.454600524,0.994296184,3.474417964,0.000511963,0.003565218
AT3G14225,13.48374924,6.349836947,2.104322685,3.017520551,0.002548518,0.014104045
AT3G14440,196.6538561,3.340071459,0.489770617,6.81966485,9.13E-12,2.17E-10
AT3G14610,87.65370593,2.95387106,0.699877119,4.220556692,2.44E-05,0.000240921
AT3G14620,361.1538864,3.381111791,0.520835134,6.491712199,8.49E-11,1.82E-09
AT3G14700,92.50369914,10.08154291,1.359446811,7.415915673,1.21E-13,3.37E-12
AT3G14710,35.31987782,8.687389689,1.72171725,5.045770255,4.52E-07,6.12E-06
AT3G15080,115.9538543,2.745814707,0.810955371,3.385901129,0.000709449,0.004708787
AT3G15210,434.0618994,3.738546489,0.453752298,8.239179184,1.73E-16,6.11E-15
AT3G15356,1888.528387,7.035146124,1.045878793,6.726540563,1.74E-11,4.02E-10
AT3G15500,92.15778815,9.116205279,1.376875097,6.620938455,3.57E-11,8.05E-10
AT3G15518,159.0256272,3.995618309,0.87856399,4.547896741,5.42E-06,6.16E-05
AT3G15760,120.9463123,2.924589056,0.606166104,4.824732092,1.40E-06,1.76E-05
AT3G15990,64.26622337,5.393714083,1.07934873,4.997193154,5.82E-07,7.74E-06
AT3G16030,41.76096718,2.782689755,1.075603028,2.587097361,0.009678824,0.042836975
AT3G16330,254.3674036,3.179421138,0.388630065,8.181099265,2.81E-16,9.68E-15
AT3G16460,47.96625924,2.779650234,0.811959385,3.423385806,0.000618462,0.004176899
AT3G16525,1241.515036,7.469613453,0.465446732,16.04826704,5.88E-58,1.45E-55
AT3G16530,2236.262079,7.671923351,0.726257856,10.5636356,4.39E-26,2.86E-24
AT3G16720,423.8780231,5.288470143,0.380700554,13.89141699,7.14E-44,1.07E-41
AT3G16800,56.08944043,2.804139095,0.831907049,3.370736067,0.000749676,0.00494509
AT3G16860,116.0188568,3.003042235,0.87335902,3.438496846,0.000584953,0.003979916
AT3G17070,19.28469586,5.9208574,1.995375798,2.967289373,0.003004381,0.016198408
AT3G17120,172.3250346,2.909931803,0.51085581,5.696190094,1.23E-08,2.07E-07
AT3G17410,792.4758319,2.618740087,0.319892505,8.186312734,2.69E-16,9.31E-15
AT3G17690,343.054943,5.952335826,0.531801398,11.19277957,4.42E-29,3.55E-27
AT3G17700,218.3583865,3.031308299,0.484897494,6.251441459,4.07E-10,8.15E-09
AT3G18250,84.77337232,9.95191944,1.489048406,6.683408948,2.33E-11,5.34E-10
AT3G18690,132.3447119,2.152414093,0.619174025,3.47626678,0.000508446,0.00354586
AT3G18830,1414.259048,3.519252514,0.277761942,12.67003136,8.67E-37,9.87E-35
AT3G19010,645.15245,3.705272311,0.301960013,12.27073833,1.30E-34,1.32E-32
AT3G19020,176.6084598,2.322997607,0.543871381,4.271226043,1.94E-05,0.000196732
AT3G19184,18.78097275,21.18839503,2.946500057,7.191038391,6.43E-13,1.67E-11
AT3G19580,230.9185483,5.103648795,0.556661683,9.168313446,4.80E-20,2.21E-18
AT3G19970,511.6133003,5.686794706,0.365968344,15.53903444,1.89E-54,4.23E-52
AT3G20410,757.7872494,3.217276945,0.275255021,11.68834971,1.46E-31,1.28E-29
AT3G20480,19.63977166,6.879603804,1.894919035,3.630552903,0.000282815,0.002129741
AT3G20490,76.79788273,2.667215683,0.668468908,3.990037009,6.61E-05,0.000585173
AT3G20600,186.5658421,2.311046083,0.625798327,3.692956634,0.000221662,0.001723857
AT3G21070,455.7132817,3.281900352,0.443113864,7.406449258,1.30E-13,3.58E-12
AT3G21150,73.22251717,4.390668471,1.096379815,4.004696559,6.21E-05,0.000553867
AT3G21300,172.4478191,2.999751246,0.714704833,4.197188978,2.70E-05,0.000264048
AT3G21305,108.5376187,10.31467901,1.41145772,7.307820039,2.72E-13,7.26E-12
AT3G21520,19.66437967,7.84720459,2.129458591,3.685070291,0.00022864,0.001772394
AT3G21540,245.3156208,2.176287046,0.620736992,3.505972859,0.000454942,0.003220565
AT3G21630,516.8077412,2.3747782,0.398323095,5.961939518,2.49E-09,4.59E-08
AT3G21780,225.8078821,7.808157397,0.79498402,9.82177906,9.07E-23,4.88E-21
AT3G22060,161.035927,4.614056296,0.783661939,5.887814714,3.91E-09,7.09E-08
AT3G22160,548.4100774,3.951750089,0.338666311,11.66856567,1.85E-31,1.60E-29
AT3G22231,184.6583014,5.518333862,0.639578708,8.628076247,6.24E-18,2.50E-16
AT3G22235,118.219603,3.795397961,1.064780513,3.564488565,0.000364566,0.002669141
AT3G22240,50.06955201,4.681732261,1.108987397,4.221628013,2.43E-05,0.000240149
AT3G22260,113.341034,2.548820767,0.729883607,3.492092085,0.000479253,0.00337282
AT3G22275,138.5066218,10.6604384,1.318008511,8.088292534,6.05E-16,2.03E-14
AT3G22310,850.7862216,2.890462844,0.275307264,10.49904313,8.73E-26,5.56E-24
AT3G22370,2255.288622,6.027920001,0.259435684,23.23473745,2.03E-119,2.44E-116
AT3G22600,77.43508642,3.642040462,1.178725038,3.089813437,0.002002823,0.011473312
AT3G22910,702.8972445,6.814706629,0.43158896,15.78980759,3.66E-56,8.58E-54
AT3G23010,61.29323549,2.301161623,0.850038719,2.707125654,0.006786856,0.031869581
AT3G23050,292.6873081,2.034035847,0.583365034,3.486729116,0.000488966,0.003433646
AT3G23120,120.4188991,5.496244204,0.813762017,6.754117407,1.44E-11,3.37E-10
AT3G23122,63.08649856,8.559135846,1.434305265,5.967443651,2.41E-09,4.46E-08
AT3G23123,54.74330864,8.352151102,1.449244866,5.763105528,8.26E-09,1.44E-07
AT3G23220,77.71399273,9.826121265,1.435555052,6.844823714,7.66E-12,1.84E-10
AT3G23230,105.9544862,7.531365895,0.991329869,7.597234915,3.03E-14,8.89E-13
AT3G23240,88.45339922,6.874010794,1.07860814,6.373038122,1.85E-10,3.82E-09
AT3G23250,996.6718439,8.635649837,0.454080304,19.01789126,1.21E-80,5.84E-78
AT3G23550,641.9659075,6.968915839,0.491782348,14.17073196,1.39E-45,2.29E-43
AT3G23620,396.2552203,2.51096079,0.383999512,6.538968708,6.19E-11,1.36E-09
AT3G25240,81.2303192,6.896919064,1.073484842,6.424794085,1.32E-10,2.77E-09
AT3G25250,996.3302676,8.853884955,0.488904293,18.10964863,2.67E-73,1.07E-70
AT3G25573,156.5498392,9.878288695,1.29460794,7.630332233,2.34E-14,6.99E-13
AT3G25597,70.9473728,3.870421896,1.130379083,3.424003465,0.000617058,0.004170344
AT3G25600,198.547239,5.034007915,0.862292788,5.837933458,5.29E-09,9.44E-08
AT3G25610,970.9130238,3.680547994,0.293299912,12.54875246,4.04E-36,4.44E-34
AT3G25655,56.9317191,9.378658243,1.450324796,6.466591668,1.00E-10,2.13E-09
AT3G25760,165.5478517,7.172997114,0.852258651,8.416455625,3.88E-17,1.44E-15
AT3G25770,705.2903403,2.779463907,0.420514359,6.609676575,3.85E-11,8.66E-10
AT3G25780,1673.729314,10.83868132,1.038727335,10.43457792,1.72E-25,1.08E-23
AT3G25882,235.8368862,5.067852461,0.699369723,7.246313783,4.28E-13,1.13E-11
AT3G25890,794.4445184,2.111661986,0.284732586,7.416298988,1.20E-13,3.36E-12
AT3G26020,398.4733518,2.189306843,0.341958588,6.402257228,1.53E-10,3.19E-09
AT3G26090,298.7564567,2.665151238,0.389606283,6.840626945,7.88E-12,1.88E-10
AT3G26350,47.07700179,2.777350239,0.866773575,3.204239628,0.001354197,0.008277417
AT3G26470,37.70266396,3.960807009,1.051878318,3.765461214,0.000166242,0.001341646
AT3G26500,101.0815866,9.237984605,1.418192686,6.513913588,7.32E-11,1.58E-09
AT3G26680,178.0770591,2.704138083,0.453244324,5.966181904,2.43E-09,4.49E-08
AT3G26690,86.83552957,3.207848605,1.120535767,2.862781091,0.004199406,0.021480246
AT3G26820,78.8076204,7.028599898,1.082958218,6.49018566,8.57E-11,1.84E-09
AT3G26830,4929.440291,9.947870163,0.338178617,29.41602359,3.43E-190,1.65E-186
AT3G26840,790.9198101,5.474450928,1.067814485,5.126780921,2.95E-07,4.12E-06
AT3G26850,259.9914929,3.831176231,0.472567668,8.107148436,5.18E-16,1.75E-14
AT3G26910,608.7594408,2.798775783,0.362519539,7.720344646,1.16E-14,3.54E-13
AT3G26980,453.9839615,2.350774217,0.363127158,6.473694305,9.56E-11,2.04E-09
AT3G27010,162.8528413,2.102602622,0.453032554,4.641173366,3.46E-06,4.10E-05
AT3G27330,122.7708405,2.650207415,0.56761988,4.668982726,3.03E-06,3.61E-05
AT3G27630,40.76229273,3.922340433,1.106875274,3.543615549,0.00039468,0.002859167
AT3G27690,472.8392153,2.66279607,0.343881505,7.743353536,9.68E-15,2.98E-13
AT3G27810,43.37371205,8.992559809,1.618072073,5.557576796,2.74E-08,4.39E-07
AT3G27809,31.04388165,8.511564129,1.765338776,4.821490495,1.42E-06,1.78E-05
AT3G28210,169.2528204,3.953866337,0.536481914,7.369989989,1.71E-13,4.64E-12
AT3G28340,413.4795488,4.356685589,0.515840254,8.445803817,3.02E-17,1.13E-15
AT3G28480,211.3335659,2.018595642,0.541251339,3.729497734,0.000191862,0.001515992
AT3G28570,17.42454631,7.676877777,1.959473814,3.917826164,8.94E-05,0.00076573
AT3G28580,3093.955605,10.91211595,0.484505125,22.52218892,2.52E-112,2.55E-109
AT3G28600,178.7502392,5.483032082,1.657083807,3.308844163,0.00093682,0.006026706
AT3G28610,71.02652792,9.700586766,1.424176731,6.811364455,9.67E-12,2.29E-10
AT3G28850,183.8217696,2.410726132,0.499172014,4.829449699,1.37E-06,1.72E-05
AT3G28925,13.0261841,7.245977435,2.723757396,2.660287383,0.0078074,0.035917027
AT3G28930,1152.556367,5.140242356,0.375416919,13.69209029,1.13E-42,1.65E-40
AT3G28940,2239.564831,3.683538356,0.212232976,17.35610756,1.77E-67,5.79E-65
AT3G29000,405.5506742,6.276100695,0.649971575,9.655961794,4.64E-22,2.39E-20
AT3G29034,113.8221465,6.747776107,0.952809741,7.081976411,1.42E-12,3.60E-11
AT3G29250,24.85937984,7.19696983,1.70548255,4.219902357,2.44E-05,0.000241497
AT3G29400,364.3096133,2.532514016,0.424664044,5.963570623,2.47E-09,4.55E-08
AT3G29590,19.37897154,7.829310986,1.9081498,4.103090326,4.08E-05,0.000380769
AT3G41762,19391.47876,3.07350537,0.199719109,15.38914019,1.94E-53,4.19E-51
AT3G43250,1793.638358,11.98147123,0.877937902,13.64728781,2.10E-42,3.01E-40
AT3G43580,34.62554036,3.933002674,1.368182111,2.87461928,0.004045149,0.020781541
AT3G44260,706.7096617,3.569482457,0.267785338,13.32964112,1.56E-40,2.07E-38
AT3G44400,129.2516993,2.378379769,0.590503551,4.027714593,5.63E-05,0.000510155
AT3G44690,149.8243506,2.000463146,0.607602506,3.292387909,0.000993405,0.006337772
AT3G44720,2043.488752,3.505781405,0.274123735,12.78904725,1.89E-37,2.22E-35
AT3G44830,119.2813411,7.792735232,1.015150116,7.676436329,1.64E-14,4.92E-13
AT3G44860,435.2553349,8.599643336,1.679436837,5.12055181,3.05E-07,4.25E-06
AT3G45640,1481.205284,3.56722483,0.24796035,14.38627117,6.31E-47,1.08E-44
AT3G45650,91.12694584,3.059228102,0.706769181,4.328468449,1.50E-05,0.000155632
AT3G45730,360.8177976,7.826700251,0.710213393,11.02020931,3.05E-28,2.27E-26
AT3G46080,83.43022617,7.534893261,1.167304286,6.454952105,1.08E-10,2.29E-09
AT3G46090,123.7353763,7.676298253,1.007118739,7.622038944,2.50E-14,7.42E-13
AT3G46110,78.02307067,4.903716486,0.850638182,5.764750033,8.18E-09,1.43E-07
AT3G46600,1232.396615,2.953144397,0.280681512,10.52133566,6.89E-26,4.42E-24
AT3G46620,547.1691337,2.370582878,0.316369334,7.493086802,6.73E-14,1.93E-12
AT3G46690,262.4575766,10.61882764,1.244528083,8.53241304,1.43E-17,5.51E-16
AT3G46730,55.89247096,3.047569692,0.878029295,3.470920287,0.000518678,0.003602856
AT3G46735,46.10140469,2.9820933,1.067662343,2.793105254,0.00522047,0.025791481
AT3G46930,242.3441458,4.371088736,0.608502257,7.183356653,6.80E-13,1.76E-11
AT3G47090,97.38908425,2.410453308,0.832138992,2.896695542,0.003771155,0.01962127
AT3G47480,558.8509077,9.519287432,0.7158392,13.29808068,2.37E-40,3.11E-38
AT3G47540,656.11059,3.931782063,0.365892942,10.74571715,6.21E-27,4.16E-25
AT3G47550,455.7497854,2.331647982,0.361833791,6.44397521,1.16E-10,2.46E-09
AT3G47780,444.7880345,5.120996103,0.479839234,10.67231635,1.37E-26,9.06E-25
AT3G47820,294.7342206,3.050964141,0.573385166,5.320968041,1.03E-07,1.53E-06
AT3G48080,57.36487657,4.389258947,0.802253973,5.471158878,4.47E-08,6.94E-07
AT3G48090,1274.403254,3.865908129,0.259112817,14.91978734,2.45E-50,4.76E-48
AT3G48450,480.6797687,12.45850606,1.235145332,10.08667218,6.33E-24,3.58E-22
AT3G48520,26.3182874,8.267729968,1.777346501,4.651726585,3.29E-06,3.91E-05
AT3G48630,20.24323033,7.888966761,2.324586239,3.393707933,0.000689532,0.004586078
AT3G48640,794.8210177,10.41990127,0.777263112,13.40588676,5.59E-41,7.52E-39
AT3G48840,8.691431463,6.664470612,2.421373381,2.752351482,0.005916898,0.028486355
AT3G48850,377.975038,8.937307639,0.737551744,12.11753306,8.53E-34,8.38E-32
AT3G48890,740.9301475,2.253447236,0.372053637,6.056780553,1.39E-09,2.63E-08
AT3G49110,274.3754891,10.68719603,1.256495973,8.505555334,1.81E-17,6.86E-16
AT3G49120,1342.540148,3.494129771,0.260200381,13.42861126,4.11E-41,5.61E-39
AT3G49540,27.38197266,8.322075399,1.690932349,4.921589799,8.58E-07,1.11E-05
AT3G49620,716.416021,13.03169886,1.247983783,10.44220209,1.59E-25,9.97E-24
AT3G49780,165.3342183,4.197480735,0.726244266,5.779709299,7.48E-09,1.32E-07
AT3G49810,311.3423286,2.593139334,0.429283043,6.04062839,1.54E-09,2.89E-08
AT3G49845,46.71777673,8.137545982,1.468883413,5.539953621,3.03E-08,4.82E-07
AT3G50260,104.7127655,7.868137037,1.06226124,7.406969906,1.29E-13,3.57E-12
AT3G50280,26.05771252,8.248712762,2.296413826,3.591997518,0.000328153,0.00243684
AT3G50480,632.7890519,4.896959066,0.533574549,9.177647389,4.41E-20,2.04E-18
AT3G50740,72.10930961,2.565553955,0.754699575,3.399437391,0.000675246,0.004501954
AT3G50760,194.586803,6.306651576,0.649929668,9.703590845,2.91E-22,1.52E-20
AT3G50770,49.10146573,6.759581643,1.264996184,5.343558919,9.11E-08,1.36E-06
AT3G50800,30.27947519,3.56119136,1.26791945,2.808688959,0.004974368,0.024791983
AT3G50900,182.0675939,2.836186111,0.58010266,4.889110684,1.01E-06,1.29E-05
AT3G50910,635.8464401,2.432627129,0.419696905,5.796152173,6.79E-09,1.20E-07
