,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT4G24050,24.78253655,-6.039061676,1.646398029,-3.668044768,0.000244412,0.001878774
AT4G24480,31.27305383,-3.965961265,1.175137983,-3.374889862,0.000738452,0.004879413
AT4G24780,454.382953,-2.293677669,0.399083405,-5.747364191,9.06E-09,1.57E-07
AT4G24860,13.32422749,-5.468420274,1.89996001,-2.878176512,0.003999813,0.020585132
AT4G24940,65.09515001,-2.155585039,0.777083818,-2.773941483,0.005538164,0.026988044
AT4G25910,100.4267904,-2.735785693,0.962915003,-2.841149724,0.00449512,0.022713816
AT4G26150,10.55312786,-5.746068226,2.104604,-2.730237245,0.006328876,0.030085999
AT4G26660,80.62151832,-2.74096026,0.983544192,-2.786819628,0.00532281,0.026191756
AT4G27350,64.40490493,-2.052990228,0.72148105,-2.84552204,0.004433869,0.02247054
AT4G27460,19.70554117,-6.927113744,1.81158397,-3.823788385,0.000131417,0.00108516
AT4G27650,93.05184389,-2.484145353,0.841355911,-2.952549952,0.003151611,0.016874048
AT4G27730,86.9789735,-2.394018637,0.725428563,-3.300143889,0.000966353,0.006189802
AT4G27760,83.31283181,-2.133519399,0.677167669,-3.150651601,0.001629067,0.009654027
AT4G28070,25.3533027,-4.623670076,1.332741348,-3.469292884,0.00052183,0.003623445
AT4G28270,93.13244326,-3.777393442,0.920447704,-4.103865352,4.06E-05,0.000380007
AT4G28310,30.22280517,-5.699304836,1.439812476,-3.958366059,7.55E-05,0.000658746
AT4G28380,8.860194302,-6.650318398,2.397436687,-2.773928686,0.005538382,0.026988044
AT4G28830,36.73836508,-4.412676861,1.492002222,-2.957553812,0.003100906,0.016648882
AT4G28950,18.40366493,-4.522363858,1.487540263,-3.040162321,0.002364507,0.013234087
AT4G29310,86.53789301,-2.893693994,0.771428102,-3.751087087,0.00017607,0.001407003
AT4G29530,15.76293823,-4.662106852,1.836193195,-2.539006715,0.011116769,0.04781577
AT4G29540,10.08435312,-5.67859806,2.133601889,-2.661507796,0.007779154,0.035804198
AT4G29890,91.45868754,-3.2354672,0.996098447,-3.248139991,0.001161621,0.007247612
