,control_1,control_2,control_3,uvc_1,uvc_2,uvc_3
AT1G55880,145,168,71,130,31,41
AT1G55890,170,181,41,38,78,82
AT1G55900,125,208,32,309,175,165
AT1G55910,19,52,17,146,11,35
AT1G55915,30,12,8,18,52,22
AT1G55917,0,0,0,7,0,0
AT1G55920,131,172,38,2048,922,437
AT1G55928,0,0,1,0,0,0
AT1G55930,113,90,33,127,7,25
AT1G55940,0,0,0,0,0,0
AT1G55945,0,0,0,0,0,0
AT1G55947,1,10,4,1,0,0
AT1G55950,2,0,0,1,0,3
AT1G55960,348,518,214,57,0,63
AT1G55970,97,100,73,261,10,77
AT1G55980,0,5,1,0,0,0
AT1G55990,0,0,0,0,1,0
AT1G56000,58,77,24,64,13,5
AT1G56010,7,28,16,5,0,93
AT1G56020,23,7,0,0,0,0
AT1G56030,0,0,0,0,0,0
AT1G56040,0,1,1,0,0,0
AT1G56045,1468,1521,1977,2713,1112,1208
AT1G56050,172,416,77,211,42,101
AT1G56060,0,6,3,1263,279,283
AT1G56070,5426,7548,2926,15840,4796,5756
AT1G56080,34,9,15,0,0,36
AT1G56085,0,0,0,1,0,0
AT1G56090,79,69,63,5,28,27
AT1G56100,0,1,0,0,0,0
AT1G56105,1,6,1,0,0,0
AT1G56110,963,1207,431,4533,1250,1684
AT1G56120,4,24,15,56,6,54
AT1G56130,36,26,3,12,89,18
AT1G56140,75,125,42,404,344,149
AT1G56145,114,148,98,1357,157,163
AT1G56150,14,0,12,235,45,24
AT1G56160,0,8,0,127,0,10
AT1G56170,34,17,0,0,1,30
AT1G56180,97,143,40,263,1,65
AT1G56190,876,1415,676,394,347,176
AT1G56200,612,991,507,747,70,248
AT1G56210,324,292,151,45,26,59
AT1G56220,3885,5481,3098,1512,553,922
AT1G56225,0,0,0,0,0,0
AT1G56230,490,447,416,546,171,135
AT1G56233,0,1,0,0,0,0
AT1G56240,0,2,0,2634,500,569
AT1G56250,0,0,0,3778,400,678
AT1G56260,2,42,32,91,1,7
AT1G56270,0,0,0,27,0,0
AT1G56280,1572,2029,911,3937,698,1205
AT1G56290,110,291,74,601,246,134
AT1G56300,152,472,160,983,453,403
AT1G56310,33,127,69,14,24,42
AT1G56320,10,3,20,0,0,3
AT1G56330,278,659,315,204,93,229
AT1G56340,1618,1917,791,1409,655,871
AT1G56345,0,25,5,58,20,11
AT1G56350,50,64,50,0,0,26
AT1G56360,0,0,0,1,0,0
AT1G56380,0,0,0,0,0,0
AT1G56385,0,0,0,0,0,0
AT1G56400,0,0,0,0,0,0
AT1G56410,1,0,0,0,0,0
AT1G56415,0,0,0,0,0,0
AT1G56418,0,0,0,0,0,0
AT1G56420,2,41,1,37,1,21
AT1G56423,39,88,74,277,42,41
AT1G56430,83,93,47,16,19,33
AT1G56440,32,101,16,36,51,34
AT1G56450,343,457,313,1027,185,277
AT1G56460,347,309,89,163,45,165
AT1G56500,374,1018,338,1879,182,382
AT1G56510,147,393,73,659,225,304
AT1G56520,95,149,27,292,18,84
AT1G56530,0,0,1,0,0,0
AT1G56540,4,1,29,349,25,56
AT1G56550,1,1,1,14,1,2
AT1G56553,0,0,0,0,0,0
AT1G56555,0,41,0,3,13,0
AT1G56560,297,233,144,749,114,124
AT1G56570,126,242,37,565,53,83
AT1G56580,22,128,7,370,48,65
AT1G56590,45,168,56,133,29,51
AT1G56600,0,0,0,0,0,6
AT1G56610,110,135,16,465,8,51
AT1G56620,0,0,0,7,0,0
AT1G56630,0,2,2,6,0,0
AT1G56650,0,2,0,0,0,1
AT1G56660,149,119,85,215,108,255
AT1G56670,4,33,6,0,15,8
AT1G56680,0,0,7,1,0,0
AT1G56690,6,41,20,188,25,1
AT1G56700,346,267,109,170,25,81
AT1G56710,53,98,1,0,0,0
AT1G56720,43,90,32,66,76,13
AT1G57540,24,96,10,1,1,0
AT1G57550,0,0,0,0,0,0
AT1G57560,0,0,0,623,142,228
AT1G57565,0,0,0,0,0,0
AT1G57570,0,5,0,0,0,0
AT1G57580,0,0,0,0,0,0
AT1G57590,3,0,1,0,0,0
AT1G57600,25,128,33,436,7,29
AT1G57610,189,148,93,2217,366,550
AT1G57613,0,0,0,0,0,0
AT1G57620,17,154,83,667,152,108
AT1G57630,1,0,2,2607,520,609
AT1G57650,0,0,0,174,97,58
AT1G57660,255,444,199,447,216,147
AT1G57670,6,2,0,56,0,10
AT1G57680,583,591,286,1893,711,569
AT1G57690,0,0,0,177,26,1
AT1G57700,88,126,55,1040,227,247
AT1G57720,1113,1697,672,4017,1166,1380
AT1G57730,0,0,0,1,0,0
AT1G57750,0,0,0,0,0,0
AT1G57760,0,0,0,0,0,0
AT1G57765,82,146,56,160,13,17
AT1G57770,45,136,65,369,33,46
AT1G57775,0,0,0,0,0,0
AT1G57777,0,0,0,0,0,0
AT1G57780,0,0,0,1,0,0
AT1G57790,69,94,23,1,5,32
AT1G57800,0,1,0,1,0,0
AT1G57820,297,178,142,159,37,66
AT1G57830,0,0,0,0,0,0
AT1G57850,27,45,13,28,17,0
AT1G57860,126,361,121,163,21,60
AT1G57870,214,196,164,43,57,45
AT1G57906,43,21,71,6,0,2
AT1G57943,0,0,0,0,0,0
AT1G57980,82,21,3,354,93,39
AT1G57990,272,196,176,8734,1904,1918
AT1G58007,0,7,0,0,1,0
AT1G58025,161,325,176,245,62,102
AT1G58030,450,602,288,343,110,117
AT1G58037,0,0,0,0,0,0
AT1G58050,0,0,0,1,0,0
AT1G58055,0,0,0,0,0,2
AT1G58060,378,495,210,226,89,169
AT1G58070,205,544,164,1122,317,307
AT1G58080,749,878,412,814,262,249
AT1G58090,0,0,0,1,0,0
AT1G58100,326,265,184,818,310,266
AT1G58110,453,730,367,374,305,90
AT1G58120,0,0,0,0,0,0
AT1G58150,27,52,16,0,21,34
AT1G58160,0,38,26,2,0,0
AT1G58170,67,122,30,0,0,4
AT1G58180,233,277,162,21,21,74
AT1G58190,2,0,0,19,7,20
AT1G58200,602,642,230,1637,435,367
AT1G58210,78,105,104,111,2,115
AT1G58215,0,0,0,0,0,0
AT1G58220,191,174,61,168,42,142
AT1G58223,107,88,40,21,31,129
AT1G58225,0,0,0,37,23,56
AT1G58230,697,817,422,919,253,309
AT1G58235,136,99,22,22,52,51
AT1G58242,0,0,0,0,0,0
AT1G58245,0,0,0,0,0,0
AT1G58248,0,0,0,0,0,0
AT1G58250,964,1136,590,869,257,602
AT1G58260,0,0,0,0,0,0
AT1G58265,0,0,0,0,0,0
AT1G58270,0,55,0,3,42,3
AT1G58280,2,5,4,64,5,3
AT1G58290,1451,1660,778,2675,760,1066
AT1G58300,1,0,0,0,0,0
AT1G58310,0,1,0,0,0,0
AT1G58320,0,0,0,0,0,0
AT1G58330,0,0,0,1,0,0
AT1G58340,34,36,15,216,72,43
AT1G58350,426,576,263,294,150,175
AT1G58360,1531,1109,814,1714,342,403
AT1G58370,286,1077,465,1417,8,201
AT1G58380,264,191,115,756,102,240
AT1G58390,0,0,0,0,0,0
AT1G58400,0,16,1,0,3,29
AT1G58410,1,10,2,561,82,43
AT1G58420,0,2,0,322,54,68
AT1G58430,0,1,0,0,0,0
AT1G58440,265,339,119,228,45,104
AT1G58450,0,0,0,0,0,0
AT1G58460,0,0,0,0,0,0
AT1G58470,51,24,16,85,0,50
AT1G58525,0,0,0,0,0,0
AT1G58520,65,121,23,225,48,17
AT1G58602,3552,5156,2412,8380,2190,3883
AT1G58643,0,0,0,0,0,0
AT1G58684,0,0,0,0,0,0
AT1G58725,0,0,0,0,0,0
AT1G58766,0,0,0,0,0,0
AT1G58807,0,0,2,0,0,0
AT1G58848,3,22,0,0,0,0
AT1G58936,0,0,0,0,0,0
AT1G58983,0,0,0,0,0,0
AT1G59030,0,0,0,0,0,0
AT1G59077,0,0,0,0,0,0
AT1G59124,0,0,2,0,0,0
AT1G59171,0,0,0,0,0,0
AT1G59218,0,0,0,0,0,0
AT1G59312,0,0,0,0,0,0
AT1G59359,0,0,0,0,0,0
AT1G59406,0,0,0,0,0,0
AT1G59453,0,0,0,0,0,0
AT1G59460,0,0,0,0,0,0
AT1G59470,0,0,0,0,0,0
AT1G59500,0,0,0,0,0,0
AT1G59510,37,21,18,234,0,3
AT1G59520,105,268,51,247,60,84
AT1G59530,0,3,1,0,0,1
AT1G59540,169,150,44,73,0,6
AT1G59550,0,0,0,1,0,0
AT1G59560,42,73,87,201,9,18
AT1G59580,61,209,15,308,16,80
AT1G59590,6,1,0,2176,304,314
AT1G59600,170,174,37,242,27,127
AT1G59610,645,1047,318,724,323,570
AT1G59620,87,154,57,242,133,102
AT1G59630,0,0,0,0,0,0
AT1G59640,13,35,0,113,1,3
AT1G59650,208,141,113,97,50,138
AT1G59660,176,157,87,317,117,98
AT1G59670,0,0,0,0,0,0
AT1G59675,0,0,0,0,0,0
AT1G59680,0,0,0,1,0,0
AT1G59690,0,0,0,0,0,0
AT1G59700,21,49,41,11,0,0
AT1G59710,115,156,115,320,5,45
AT1G59720,157,81,24,203,30,77
AT1G59722,0,0,0,1,0,0
AT1G59723,1,0,0,0,0,0
AT1G59724,0,0,0,0,0,0
AT1G59725,0,0,0,0,0,0
AT1G59730,0,0,0,0,0,0
AT1G59740,59,70,11,1074,283,363
AT1G59750,337,391,301,654,201,262
AT1G59760,363,496,277,554,302,288
AT1G59780,0,6,3,2,0,0
AT1G59790,0,0,0,1,0,0
AT1G59800,0,0,0,0,0,0
AT1G59810,0,2,0,0,0,0
AT1G59820,341,377,304,817,231,370
AT1G59830,416,440,120,506,121,238
AT1G59833,0,0,0,0,0,0
AT1G59835,0,0,0,0,0,0
AT1G59840,193,322,150,2,11,28
AT1G59850,15,185,56,9,65,19
AT1G59860,0,0,2,308,74,133
AT1G59865,5,4,0,1037,187,293
AT1G59870,1480,1458,838,31135,9233,11047
AT1G59885,8,1,0,0,0,0
AT1G59890,576,614,221,342,209,199
AT1G59900,1086,1121,670,1668,463,491
AT1G59910,338,220,68,2266,496,556
AT1G59920,0,0,0,0,0,0
AT1G59930,0,0,0,0,0,0
AT1G59940,0,0,0,0,41,16
AT1G59950,0,1,0,23,33,32
AT1G59960,39,88,28,77,38,49
AT1G59970,50,66,50,142,20,61
AT1G59980,99,93,34,225,29,2
AT1G59990,172,377,94,309,1,137
AT1G60000,368,678,260,144,9,95
AT1G60010,247,471,184,180,1,213
AT1G60030,40,69,0,871,145,107
AT1G60040,0,0,0,0,0,0
AT1G60050,0,0,0,0,0,0
AT1G60060,7,71,0,0,29,4
AT1G60070,507,990,599,699,333,339
AT1G60080,16,53,44,219,31,33
AT1G60090,0,0,0,3,0,0
AT1G60095,0,0,0,0,3,0
AT1G60110,0,0,0,0,0,0
AT1G60130,0,0,0,1,2,0
AT1G60140,390,552,250,176,90,113
AT1G60160,102,163,72,109,5,13
AT1G60170,325,347,243,652,156,305
AT1G60190,0,4,13,0,4,0
AT1G60200,629,856,459,1245,403,594
AT1G60220,284,284,57,194,11,24
AT1G60230,189,167,64,105,32,44
AT1G60240,0,0,0,0,0,0
AT1G60250,0,0,0,0,0,0
AT1G60260,323,512,77,357,126,91
AT1G60270,0,2,0,7,1,18
AT1G60280,0,0,0,0,0,0
AT1G60300,0,0,0,0,0,0
AT1G60320,0,0,0,0,0,0
AT1G60340,0,0,0,0,0,0
AT1G60350,10,0,0,25,0,0
AT1G60360,22,50,3,3,95,44
AT1G60370,0,0,0,0,0,0
AT1G60380,0,0,0,0,0,0
AT1G60390,63,170,78,209,4,27
AT1G60400,0,0,0,0,0,0
AT1G60410,0,0,0,0,0,0
AT1G60420,321,278,160,650,247,290
AT1G60430,60,87,31,45,0,125
AT1G60440,158,206,12,80,54,125
AT1G60450,0,0,0,0,0,0
AT1G60460,19,20,27,7,0,0
AT1G60470,0,9,0,1,9,1
AT1G60490,240,320,111,531,3,59
AT1G60500,0,1,0,280,152,105
AT1G60530,28,29,4,30,3,29
AT1G60550,697,1010,363,671,97,130
AT1G60560,144,136,100,262,34,35
AT1G60570,0,0,0,0,0,0
AT1G60590,25,137,36,392,15,82
AT1G60600,288,443,217,185,22,95
AT1G60610,63,60,15,125,0,81
AT1G60620,13,48,6,224,29,22
AT1G60625,0,0,0,0,0,0
AT1G60630,15,4,5,0,2,0
AT1G60640,167,165,149,1912,254,347
AT1G60650,59,124,38,169,26,72
AT1G60660,41,162,52,17,9,56
AT1G60670,184,154,131,17,87,89
AT1G60680,4,51,11,309,0,2
AT1G60690,174,68,31,0,24,17
AT1G60700,85,58,1,153,0,17
AT1G60710,612,1118,316,1245,289,178
AT1G60720,0,3,0,0,0,0
AT1G60730,15,54,31,1097,885,570
AT1G60740,0,0,0,1,0,1
AT1G60750,0,0,0,0,0,3
AT1G60760,0,0,0,0,0,0
AT1G60770,214,337,166,448,211,90
AT1G60780,325,518,220,834,266,320
AT1G60783,0,0,0,0,0,0
AT1G60787,0,0,0,0,0,0
AT1G60790,90,82,72,65,38,252
AT1G60800,657,803,394,1041,189,179
AT1G60810,148,428,68,652,168,163
AT1G60815,0,0,0,0,0,0
AT1G60830,0,0,0,0,0,1
AT1G60850,50,133,43,424,118,127
AT1G60860,94,154,45,270,36,120
AT1G60870,474,731,358,615,133,124
AT1G60880,0,0,0,0,0,0
AT1G60890,142,116,52,8,8,73
AT1G60900,496,514,359,1254,155,213
AT1G60913,0,0,0,0,0,0
AT1G60920,0,0,0,0,0,0
AT1G60930,78,47,50,96,4,126
AT1G60940,681,621,285,291,175,391
AT1G60950,7551,12059,4739,8761,1998,2847
AT1G60960,15,14,6,4,4,21
AT1G60970,0,0,0,0,0,0
AT1G60980,0,0,0,0,0,0
AT1G60983,0,0,0,0,0,0
AT1G60985,0,0,0,0,0,0
AT1G60986,0,0,0,0,0,0
AT1G60987,0,0,0,0,0,0
AT1G60990,329,550,201,472,125,89
AT1G60989,125,338,163,402,10,36
AT1G60995,218,315,130,110,77,162
AT1G61000,6,94,39,212,3,45
AT1G61010,148,280,109,873,138,167
AT1G61030,57,131,139,31,13,43
AT1G61040,232,346,104,1569,188,258
AT1G61050,0,0,0,0,0,0
AT1G61060,0,5,0,0,0,0
AT1G61065,5,56,38,2,56,26
AT1G61070,0,0,0,0,0,0
AT1G61080,0,0,0,0,0,0
AT1G61090,0,0,0,0,0,0
AT1G61093,0,2,0,0,0,0
AT1G61095,0,0,0,0,0,0
AT1G61097,0,0,0,0,0,0
AT1G61100,484,727,343,670,26,413
AT1G61105,0,0,0,0,0,0
AT1G61110,0,0,0,0,0,0
AT1G61120,0,0,0,356,240,162
AT1G61130,0,1,0,1,0,0
AT1G61140,317,388,154,3011,544,1052
AT1G61150,138,286,70,210,22,120
AT1G61160,0,0,0,0,0,0
AT1G61165,0,0,0,0,0,0
AT1G61170,30,42,0,8,43,27
AT1G61180,57,163,32,178,7,53
AT1G61190,285,530,193,310,460,225
AT1G61200,0,0,0,0,0,0
AT1G61210,348,292,188,795,94,132
AT1G61215,98,103,10,349,167,90
AT1G61230,0,0,48,0,0,0
AT1G61240,202,158,197,104,46,21
AT1G61250,439,393,213,2974,567,734
AT1G61255,0,2,0,35,0,9
AT1G61260,308,172,137,691,287,323
AT1G61270,3,0,1,1,0,0
AT1G61280,14,1,1,119,69,56
AT1G61290,11,0,0,0,0,7
AT1G61300,105,199,97,392,7,71
AT1G61310,67,54,19,18,0,24
AT1G61320,0,2,0,0,0,1
AT1G61330,0,2,0,0,0,0
AT1G61340,0,0,29,1074,250,357
AT1G61350,367,424,148,1374,266,252
AT1G61360,29,27,29,2750,833,560
AT1G61370,3,14,6,1019,403,252
AT1G61380,70,104,2,303,436,256
AT1G61390,0,11,0,33,33,38
AT1G61400,21,30,9,98,96,139
AT1G61410,0,0,2,242,29,23
AT1G61415,12,10,0,112,42,44
AT1G61420,45,56,2,626,97,152
AT1G61430,105,91,37,447,285,138
AT1G61440,0,4,0,58,0,23
AT1G61450,3,18,26,0,0,4
AT1G61460,16,39,0,30,53,45
AT1G61470,0,7,0,151,98,83
AT1G61475,0,0,0,0,0,0
AT1G61480,0,0,1,0,1,0
AT1G61490,2,18,36,6,0,20
AT1G61500,56,36,28,0,13,59
AT1G61520,3344,5573,2182,11614,2847,4666
AT1G61540,0,0,0,0,0,0
AT1G61550,0,0,0,21,13,40
AT1G61560,4,12,3,822,183,229
AT1G61562,4,8,0,424,40,62
AT1G61563,0,0,0,0,0,0
AT1G61565,0,0,0,0,0,0
AT1G61566,0,0,0,0,0,0
AT1G61570,120,164,62,82,208,179
AT1G61575,0,0,0,0,0,0
AT1G61580,187,430,224,1820,335,297
AT1G61590,0,0,0,0,0,0
AT1G61600,382,195,212,209,2,11
AT1G61610,13,2,0,949,243,300
AT1G61620,225,275,47,793,50,231
AT1G61630,0,0,0,0,0,0
AT1G61640,52,106,61,1567,675,607
AT1G61660,1393,1900,813,5395,1062,1186
AT1G61667,182,188,71,583,15,52
AT1G61670,320,408,150,601,107,73
AT1G61680,58,96,8,0,0,0
AT1G61688,0,0,0,0,0,0
AT1G61690,461,590,202,840,140,548
AT1G61700,2,0,0,0,0,0
AT1G61710,0,17,0,0,3,31
AT1G61720,0,0,0,0,0,0
AT1G61730,490,555,288,1483,856,585
AT1G61740,2280,2574,1859,1102,276,581
AT1G61750,0,0,0,0,0,1
AT1G61760,16,28,22,11,6,8
AT1G61770,220,475,120,272,252,105
AT1G61780,261,309,93,448,82,77
AT1G61790,329,569,231,623,345,407
AT1G61795,30,7,9,1,0,5
AT1G61800,0,2,0,1896,481,286
AT1G61810,8,0,0,192,47,18
AT1G61820,1,43,0,2568,703,448
AT1G61840,0,1,0,1,1,0
AT1G61850,557,597,227,538,269,251
AT1G61860,10,3,0,170,0,59
AT1G61870,168,311,112,500,411,537
AT1G61890,45,87,62,2598,442,708
AT1G61900,54,189,52,142,11,68
AT1G61920,0,0,0,0,0,0
AT1G61930,39,16,0,0,3,0
AT1G61940,0,0,0,0,0,0
AT1G61950,0,0,0,0,0,1
AT1G61960,52,71,3,0,0,14
AT1G61970,35,78,43,142,34,52
AT1G61980,21,114,43,65,47,65
AT1G61990,88,160,56,297,32,28
AT1G62000,0,0,0,0,0,0
AT1G62010,35,18,0,10,18,9
AT1G62020,682,815,370,2346,379,489
AT1G62030,0,22,0,0,0,27
AT1G62040,234,226,72,153,34,86
AT1G62045,99,68,11,52,36,44
AT1G62050,63,186,108,212,0,34
AT1G62060,0,0,0,0,0,0
AT1G62070,0,0,0,0,0,0
AT1G62080,0,0,0,0,0,0
AT1G62085,32,22,7,0,0,21
AT1G62110,19,56,0,0,0,54
AT1G62120,7,39,0,0,0,1
AT1G62130,10,94,14,147,2,18
AT1G62150,106,32,92,192,0,45
AT1G62160,0,0,0,0,0,0
AT1G62170,91,80,15,13,0,2
AT1G62180,2044,1625,1077,188,162,290
AT1G62190,10,49,1,0,0,2
AT1G62200,96,198,78,227,165,133
AT1G62210,0,0,0,0,0,0
AT1G62220,0,0,0,0,0,0
AT1G62225,0,0,0,0,0,0
AT1G62250,180,156,77,6,30,75
AT1G62240,1,3,0,0,30,2
AT1G62260,7,87,41,0,0,12
AT1G62262,0,0,0,0,1,0
AT1G62270,0,0,0,0,0,0
AT1G62280,0,0,12,0,0,2
AT1G62290,1,2,0,0,0,0
AT1G62300,17,6,2,3869,734,975
AT1G62305,139,78,17,309,35,97
AT1G62310,517,489,270,4079,844,1281
AT1G62320,13,0,0,2,49,40
AT1G62330,213,278,85,171,130,10
AT1G62333,0,3,0,0,0,0
AT1G62340,0,0,0,0,0,0
AT1G62350,3,2,0,0,0,7
AT1G62360,0,0,0,0,0,0
AT1G62370,0,1,0,0,0,0
AT1G62380,3996,5702,2056,4267,1465,1394
AT1G62390,1011,1019,389,2929,668,806
AT1G62400,7,12,4,0,0,15
AT1G62410,0,0,0,0,0,0
AT1G62421,0,0,0,0,0,0
AT1G62422,50,113,17,1054,334,184
AT1G62420,1,0,0,19,0,14
AT1G62430,322,432,217,1020,63,95
AT1G62440,17,8,0,0,11,23
AT1G62450,0,0,0,0,0,0
AT1G62480,2123,2970,1249,3770,1222,944
AT1G62490,0,1,0,0,0,0
AT1G62500,0,0,0,0,0,0
AT1G62510,43,7,0,45,1,26
AT1G62515,43,7,0,45,0,20
AT1G62520,53,54,46,4,0,0
AT1G62530,0,10,0,0,0,0
AT1G62540,1,0,0,4,1,0
AT1G62560,108,99,22,23,63,74
AT1G62570,340,245,72,538,98,145
AT1G62580,5,0,0,0,0,0
AT1G62590,17,24,14,166,0,1
AT1G62600,69,107,23,104,69,21
AT1G62610,39,69,1,0,28,7
AT1G62620,3,39,0,0,1,0
AT1G62630,86,319,87,182,51,61
AT1G62640,137,270,100,250,55,57
AT1G62660,9,19,5,7,16,16
AT1G62670,19,8,39,0,0,9
AT1G62680,11,67,0,6,1,13
AT1G62690,0,4,0,0,0,2
AT1G62700,81,170,44,235,41,29
AT1G62710,0,0,2,4,0,0
AT1G62720,0,21,2,67,19,1
AT1G62730,18,44,43,33,62,45
AT1G62740,250,473,170,1162,337,375
AT1G62750,1989,3240,1094,2024,411,609
AT1G62760,2,16,14,26,0,0
AT1G62770,0,10,0,0,0,0
AT1G62780,568,872,334,600,15,119
AT1G62790,110,350,48,268,26,96
AT1G62800,22,1,0,2,0,15
AT1G62810,96,213,99,336,34,24
AT1G62820,86,212,159,69,45,37
AT1G62830,147,244,85,7,27,17
AT1G62840,33,77,57,598,37,210
AT1G62850,95,218,53,538,28,258
AT1G62870,0,92,40,25,5,0
AT1G62880,56,86,20,24,12,25
AT1G62886,0,8,0,0,0,1
AT1G62895,0,0,0,0,0,0
AT1G62900,1,0,0,0,0,0
AT1G62910,0,13,11,0,0,5
AT1G62914,8,35,66,0,0,7
AT1G62915,68,42,14,0,0,0
AT1G62920,4,6,8,46,0,10
AT1G62930,22,70,26,66,1,23
AT1G62935,14,0,0,0,0,15
AT1G62940,0,0,0,0,0,0
AT1G62950,58,46,28,74,0,3
AT1G62960,114,235,31,235,1,63
AT1G62970,138,251,130,230,72,119
AT1G62975,3,1,2,5,3,0
AT1G62978,0,2,0,0,0,0
AT1G62980,0,1,1,0,0,0
AT1G62981,89,47,68,424,51,50
AT1G62990,36,164,40,396,143,46
AT1G63000,213,479,400,1396,182,95
AT1G63010,571,796,415,811,142,283
AT1G63020,299,353,116,92,119,54
AT1G63030,0,0,0,0,0,0
AT1G63050,78,62,13,99,5,2
AT1G63055,0,0,0,1,0,0
AT1G63057,0,0,0,1,0,0
AT1G63060,0,0,0,0,0,0
AT1G63070,0,0,0,0,0,0
AT1G63080,8,66,13,0,0,0
AT1G63090,166,210,85,463,141,139
AT1G63100,148,192,68,306,60,6
AT1G63105,0,0,0,0,0,0
AT1G63110,252,159,93,253,202,112
AT1G63120,209,383,154,463,239,193
AT1G63130,135,83,37,242,0,27
AT1G63140,0,0,0,0,0,0
AT1G63150,6,27,8,0,0,2
AT1G63160,37,55,0,118,1,39
AT1G63170,188,233,180,883,113,298
AT1G63180,167,291,193,322,65,90
AT1G63190,0,0,0,0,0,0
AT1G63200,0,0,0,0,0,0
AT1G63205,0,0,0,0,0,0
AT1G63206,0,0,0,0,0,0
AT1G63210,0,0,0,0,0,0
AT1G63220,46,66,29,0,69,60
AT1G63230,21,23,12,90,0,0
AT1G63240,103,200,65,94,17,56
AT1G63245,0,0,0,0,0,0
AT1G63250,75,79,24,67,33,56
AT1G63260,18,66,48,144,3,41
AT1G63270,57,48,49,32,69,16
AT1G63280,0,0,2,0,0,0
AT1G63290,308,294,134,161,102,86
AT1G63295,65,255,67,80,15,21
AT1G63300,464,760,441,900,276,335
AT1G63310,183,320,42,428,35,145
AT1G63320,0,0,0,0,0,0
AT1G63330,0,0,0,0,0,0
AT1G63340,0,0,0,0,0,0
AT1G63350,20,1,23,33,40,90
AT1G63360,161,330,157,116,156,113
AT1G63370,0,2,0,0,0,0
AT1G63380,0,2,0,0,0,0
AT1G63390,43,7,0,0,11,0
AT1G63400,3,13,7,0,0,0
AT1G63410,0,0,0,0,0,0
AT1G63420,168,195,134,108,69,18
AT1G63430,462,773,211,758,191,194
AT1G63440,83,131,31,572,462,364
AT1G63450,14,2,0,0,0,8
AT1G63460,47,160,59,232,126,82
AT1G63470,115,294,59,220,5,29
AT1G63480,122,277,83,84,5,18
AT1G63490,250,437,130,517,181,181
AT1G63500,411,299,329,1021,292,389
AT1G63520,48,64,7,0,8,3
AT1G63522,0,0,0,0,0,0
AT1G63530,66,0,0,0,15,22
AT1G63535,0,0,0,0,0,0
AT1G63540,0,14,1,33,0,0
AT1G63550,1,0,0,0,0,0
AT1G63570,0,0,1,0,0,0
AT1G63580,2,0,0,0,0,0
AT1G63590,0,0,0,0,0,0
AT1G63600,0,0,0,1,0,0
AT1G63610,197,407,89,160,7,121
AT1G63615,0,9,0,0,0,0
AT1G63630,0,5,0,0,0,0
AT1G63640,445,411,160,448,91,195
AT1G63650,1,9,0,9,0,0
AT1G63660,170,287,98,618,68,112
AT1G63670,49,255,33,152,51,34
AT1G63680,693,775,339,760,14,141
AT1G63690,578,782,303,863,135,277
AT1G63700,427,528,163,407,178,192
AT1G63710,0,0,0,0,0,0
AT1G63720,2,14,24,1328,473,366
AT1G63730,67,106,24,468,5,46
AT1G63740,225,164,77,628,110,82
AT1G63750,238,217,222,940,136,361
AT1G63770,1395,1921,563,1715,527,560
AT1G63780,63,256,54,550,270,208
AT1G63800,230,340,208,117,13,108
AT1G63810,135,383,163,724,216,207
AT1G63820,0,1,0,39,0,9
AT1G63830,316,294,225,1454,687,467
AT1G63840,65,70,28,765,115,151
AT1G63850,126,115,116,148,15,67
AT1G63855,51,31,24,6,0,2
AT1G63860,112,136,32,397,126,135
AT1G63870,0,6,0,0,0,0
AT1G63880,434,576,101,405,88,409
AT1G63900,68,229,54,319,16,68
AT1G63910,17,34,2,33,0,5
AT1G63930,1,0,0,0,0,44
AT1G63940,624,885,332,719,229,258
AT1G63950,0,0,0,0,0,2
AT1G63960,0,0,0,0,0,0
AT1G63970,269,389,135,271,97,63
AT1G63980,708,1158,485,1635,451,531
AT1G63990,100,119,57,10,82,87
AT1G64000,0,0,0,0,0,0
AT1G64010,0,0,0,72,58,0
AT1G64020,0,0,0,0,0,0
AT1G64030,0,0,0,0,0,0
AT1G64040,238,244,175,873,271,223
AT1G64050,242,247,119,655,277,310
AT1G64060,860,900,442,254,210,336
AT1G64065,46,11,3,456,246,86
AT1G64070,0,0,0,0,0,0
AT1G64080,18,25,2,2,24,77
AT1G64090,308,516,316,1054,231,429
AT1G64100,27,54,19,338,151,166
AT1G64105,27,56,19,338,151,166
AT1G64107,0,0,0,0,0,1
AT1G64110,0,1,0,2,0,0
AT1G64130,0,0,0,0,0,0
AT1G64140,559,476,216,2461,1000,1103
AT1G64150,153,328,128,28,2,51
AT1G64160,0,0,0,124,0,20
AT1G64170,9,10,0,3,6,0
AT1G64180,67,108,27,60,33,31
AT1G64185,9,27,0,0,0,0
AT1G64190,932,734,438,562,275,307
AT1G64195,0,0,0,0,0,0
AT1G64200,0,6,12,10,0,2
AT1G64210,0,0,24,0,0,0
AT1G64220,0,13,0,102,1,22
AT1G64230,814,1055,652,1565,638,284
AT1G64235,0,0,0,0,0,0
AT1G64253,0,0,11,0,0,0
AT1G64255,0,0,0,0,1,0
AT1G64260,0,0,0,0,0,0
AT1G64280,120,210,154,1446,428,573
AT1G64290,0,0,0,843,232,126
AT1G64295,0,0,0,2,0,0
AT1G64300,44,24,1,33,26,23
AT1G64310,35,0,0,0,0,14
AT1G64320,12,22,17,73,0,10
AT1G64330,370,528,187,767,109,167
AT1G64340,0,1,0,0,0,0
AT1G64350,17,90,33,328,80,48
AT1G64355,96,262,65,192,24,137
AT1G64360,210,202,130,67,57,96
AT1G64370,3955,3726,2229,20435,3603,5572
AT1G64380,23,9,0,37,0,0
